Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
59;0;0.966767372;0.033232628;0;0;0;0;0
59;1;0.105932203;0.868644068;0.025423729;0;0;0;0
59;2;0.029126214;0.048543689;0.873786408;0.048543689;0;0;0
59;3;0;0.058823529;0.235294118;0.705882353;0;0;0
59;4;0;0;0;0;0;0;0
59;5;0;0;0;0;0;0;0
59;6;0;0;0;0;0;0;0
60;0;0.890804598;0.08908046;0.017241379;0.002873563;0;0;0
60;1;0.130630631;0.774774775;0.094594595;0;0;0;0
60;2;0.04;0.17;0.76;0.03;0;0;0
60;3;0;0;0.235294118;0.764705882;0;0;0
60;4;0;0;0;0;0;0;0
60;5;0;0;0;0;0;0;0
60;6;0;0;0;0;0;0;0
61;0;0.970845481;0.026239067;0.002915452;0;0;0;0
61;1;0.054545455;0.909090909;0.036363636;0;0;0;0
61;2;0.028037383;0.046728972;0.878504673;0.046728972;0;0;0
61;3;0;0;0.117647059;0.882352941;0;0;0
61;4;0;0;0;0;0;0;0
61;5;0;0;0;0;0;0;0
61;6;0;0;0;0;0;0;0
62;0;0.968390805;0.025862069;0.005747126;0;0;0;0
62;1;0.03271028;0.943925234;0.023364486;0;0;0;0
62;2;0.00952381;0.047619048;0.923809524;0.019047619;0;0;0
62;3;0;0;0.05;0.95;0;0;0
62;4;0;0;0;0;0;0;0
62;5;0;0;0;0;0;0;0
62;6;0;0;0;0;0;0;0
63;0;0.982608696;0.014492754;0.002898551;0;0;0;0
63;1;0.074074074;0.865740741;0.055555556;0.00462963;0;0;0
63;2;0.028571429;0.047619048;0.904761905;0.019047619;0;0;0
63;3;0.047619048;0;0.285714286;0.666666667;0;0;0
63;4;0;0;0;0;0;0;0
63;5;0;0;0;0;0;0;0
63;6;0;0;0;0;0;0;0
64;0;0.966573816;0.033426184;0;0;0;0;0
64;1;0.086294416;0.878172589;0.035532995;0;0;0;0
64;2;0.01754386;0.114035088;0.833333333;0.035087719;0;0;0
64;3;0;0;0.058823529;0.941176471;0;0;0
64;4;0;0;0;0;0;0;0
64;5;0;0;0;0;0;0;0
64;6;0;0;0;0;0;0;0
65;0;0.972677596;0.021857923;0.005464481;0;0;0;0
