Ten minute period number;Active occupant count in time period;Probability of transition to zero active occupants in next time period;Probability of transition to one active occupant in next time period;Probability of transition to two active occupants in next time period;Probability of transition to three active occupants in next time period;Probability of transition to four active occupants in next time period;Probability of transition to five active occupants in next time period;Probability of transition to six active occupants in next time period
33;4;0;0;0;0;0;0;0
33;5;0;0;0;0;0;0;0
33;6;0;0;0;0;0;0;0
34;0;1;0;0;0;0;0;0
34;1;0.333333333;0.666666667;0;0;0;0;0
34;2;0;0;1;0;0;0;0
34;3;0;0;0;1;0;0;0
34;4;0;0;0;0;0;0;0
34;5;0;0;0;0;0;0;0
34;6;0;0;0;0;0;0;0
35;0;0.991803279;0.008196721;0;0;0;0;0
35;1;0.75;0.25;0;0;0;0;0
35;2;0;0;1;0;0;0;0
35;3;0;0;0;1;0;0;0
35;4;0;0;0;0;0;0;0
35;5;0;0;0;0;0;0;0
35;6;0;0;0;0;0;0;0
36;0;0.967741935;0.024193548;0.008064516;0;0;0;0
36;1;0.5;0.5;0;0;0;0;0
36;2;0;0;1;0;0;0;0
36;3;0;1;0;0;0;0;0
36;4;0;0;0;0;0;0;0
36;5;0;0;0;0;0;0;0
36;6;0;0;0;0;0;0;0
37;0;0.975206612;0.024793388;0;0;0;0;0
37;1;0;1;0;0;0;0;0
37;2;0;0;1;0;0;0;0
37;3;0;0;0;0;0;0;0
37;4;0;0;0;0;0;0;0
37;5;0;0;0;0;0;0;0
37;6;0;0;0;0;0;0;0
38;0;0.991525424;0.008474576;0;0;0;0;0
38;1;0.125;0.875;0;0;0;0;0
38;2;0;0.5;0.5;0;0;0;0
38;3;0;0;0;0;0;0;0
38;4;0;0;0;0;0;0;0
38;5;0;0;0;0;0;0;0
38;6;0;0;0;0;0;0;0
39;0;0.966101695;0.033898305;0;0;0;0;0
39;1;0.333333333;0.444444444;0.222222222;0;0;0;0
39;2;0;0;1;0;0;0;0
39;3;0;0;0;0;0;0;0
39;4;0;0;0;0;0;0;0
39;5;0;0;0;0;0;0;0
39;6;0;0;0;0;0;0;0
40;0;0.948717949;0.051282051;0;0;0;0;0
40;1;0;1;0;0;0;0;0
40;2;0.333333333;0;0.666666667;0;0;0;0
40;3;0;0;0;0;0;0;0
40;4;0;0;0;0;0;0;0
40;5;0;0;0;0;0;0;0
40;6;0;0;0;0;0;0;0
41;0;0.910714286;0.089285714;0;0;0;0;0
41;1;0.285714286;0.5;0.214285714;0;0;0;0
41;2;0.5;0;0.5;0;0;0;0
41;3;0;0;0;0;0;0;0
41;4;0;0;0;0;0;0;0
41;5;0;0;0;0;0;0;0
41;6;0;0;0;0;0;0;0
42;0;0.831775701;0.140186916;0.028037383;0;0;0;0
42;1;0.176470588;0.588235294;0.176470588;0.058823529;0;0;0
42;2;0.25;0.25;0.25;0;0.25;0;0
42;3;0;0;0;0;0;0;0
42;4;0;0;0;0;0;0;0
42;5;0;0;0;0;0;0;0
42;6;0;0;0;0;0;0;0
43;0;0.967741935;0.032258065;0;0;0;0;0
43;1;0.076923077;0.884615385;0.038461538;0;0;0;0
43;2;0;0.142857143;0.714285714;0.142857143;0;0;0
43;3;0;0;0;1;0;0;0
43;4;0;0;0;0;1;0;0
43;5;0;0;0;0;0;0;0
43;6;0;0;0;0;0;0;0
44;0;0.967391304;0.032608696;0;0;0;0;0
44;1;0.074074074;0.851851852;0.074074074;0;0;0;0
44;2;0;0.166666667;0.833333333;0;0;0;0
44;3;0;0;0;1;0;0;0
44;4;0;0;0;0;1;0;0
44;5;0;0;0;0;0;0;0
44;6;0;0;0;0;0;0;0
45;0;0.89010989;0.087912088;0.010989011;0.010989011;0;0;0
45;1;0.148148148;0.666666667;0.185185185;0;0;0;0
45;2;0.142857143;0.142857143;0.714285714;0;0;0;0
45;3;0;0;0.5;0.5;0;0;0
45;4;0;0;0;0;0;1;0
45;5;0;0;0;0;0;0;0
45;6;0;0;0;0;0;0;0
46;0;0.906976744;0.081395349;0;0.011627907;0;0;0
46;1;0.074074074;0.814814815;0.074074074;0.037037037;0;0;0
46;2;0;0;1;0;0;0;0
46;3;0;0;0.5;0.5;0;0;0
46;4;0;0;0;0;0;0;0
46;5;0;0;0;0;0;1;0
46;6;0;0;0;0;0;0;0
47;0;0.875;0.1;0.025;0;0;0;0
47;1;0.068965517;0.724137931;0.206896552;0;0;0;0
47;2;0.066666667;0.133333333;0.666666667;0.133333333;0;0;0
47;3;0;0;0.333333333;0.666666667;0;0;0
47;4;0;0;0;0;0;0;0
47;5;0;0;0;0;0;1;0
47;6;0;0;0;0;0;0;0
48;0;0.780821918;0.123287671;0.054794521;0.02739726;0.01369863;0;0
48;1;0.161290323;0.548387097;0.225806452;0.064516129;0;0;0
48;2;0.052631579;0.105263158;0.578947368;0.210526316;0.052631579;0;0
48;3;0;0;0;1;0;0;0
48;4;0;0;0;0;0;0;0
48;5;0;0;0;0;0;1;0
48;6;0;0;0;0;0;0;0
49;0;0.936507937;0.063492063;0;0;0;0;0
49;1;0;0.785714286;0.214285714;0;0;0;0
49;2;0;0.045454545;0.681818182;0.272727273;0;0;0
49;3;0;0.083333333;0.083333333;0.666666667;0.166666667;0;0
49;4;0;0;0;0;1;0;0
49;5;0;0;0;0;0;1;0
49;6;0;0;0;0;0;0;0
50;0;0.915254237;0.06779661;0.016949153;0;0;0;0
50;1;0.071428571;0.821428571;0.035714286;0.071428571;0;0;0
50;2;0;0.090909091;0.772727273;0.136363636;0;0;0
50;3;0;0.071428571;0.142857143;0.714285714;0;0.071428571;0
50;4;0;0;0;0;1;0;0
50;5;0;0;0;0;0;1;0
50;6;0;0;0;0;0;0;0
51;0;0.821428571;0.142857143;0.035714286;0;0;0;0
51;1;0;0.666666667;0.266666667;0.033333333;0;0.033333333;0
51;2;0.095238095;0.095238095;0.714285714;0.047619048;0.047619048;0;0
