Occupancy Model;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Transition Probability Matrix;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
One resident house;;;;;;;;;;;;;;;
Weekday;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ten minute period number;Combined State  @t;Combined State  @t+1;;;;;;;;;;;;;
;;00;01;10;11;;;;;;;;;;
59;00;0.94737;0.052632;0;0;;;;;;;;;;
59;01;0.0012755;0.98087;0;0.017857;;;;;;;;;;
59;10;0;0.0081967;0.88525;0.10656;;;;;;;;;;
59;11;0;0.063063;0.011583;0.92535;;;;;;;;;;
60;00;1;0;0;0;;;;;;;;;;
60;01;0;0.96341;0;0.036585;;;;;;;;;;
60;10;0.008547;0;0.62393;0.36752;;;;;;;;;;
60;11;0;0.11394;0.013405;0.87265;;;;;;;;;;
61;00;0.8;0.2;0;0;;;;;;;;;;
61;01;0;0.98743;0;0.012571;;;;;;;;;;
61;10;0;0;0.90361;0.096386;;;;;;;;;;
61;11;0.0013812;0.041436;0.0096685;0.94751;;;;;;;;;;
62;00;0.88235;0;0;0.11765;;;;;;;;;;
62;01;0.0033408;0.97105;0;0.025612;;;;;;;;;;
62;10;0;0;0.91463;0.085366;;;;;;;;;;
62;11;0;0.051064;0.0085106;0.94043;;;;;;;;;;
63;00;0.83333;0.16667;0;0;;;;;;;;;;
63;01;0;0.97577;0;0.024229;;;;;;;;;;
63;10;0;0;0.81481;0.18519;;;;;;;;;;
63;11;0;0.083453;0.0071942;0.90935;;;;;;;;;;
64;00;0.93333;0;0;0.066667;;;;;;;;;;
64;01;0.0021119;0.96938;0.001056;0.027455;;;;;;;;;;
64;10;0;0;0.85915;0.14085;;;;;;;;;;
64;11;0.0014948;0.044843;0.0074738;0.94619;;;;;;;;;;
65;00;0.82353;0.11765;0;0.058824;;;;;;;;;;
65;01;0;0.97363;0.0010549;0.025316;;;;;;;;;;
65;10;0;0;0.8806;0.1194;;;;;;;;;;
65;11;0.0014925;0.058209;0.016418;0.92388;;;;;;;;;;
66;00;0.8;0.2;0;0;;;;;;;;;;
66;01;0.0010373;0.95747;0.0020747;0.039419;;;;;;;;;;
66;10;0;0.028169;0.76056;0.21127;;;;;;;;;;
66;11;0;0.065951;0.0092025;0.92485;;;;;;;;;;
67;00;0.84615;0.15385;0;0;;;;;;;;;;
67;01;0.0020597;0.97837;0.0020597;0.017508;;;;;;;;;;
67;10;0;0;0.82258;0.17742;;;;;;;;;;
67;11;0;0.044207;0.0091463;0.94665;;;;;;;;;;
68;00;0.84615;0.15385;0;0;;;;;;;;;;
68;01;0.0020387;0.96636;0.0010194;0.030581;;;;;;;;;;
68;10;0;0.033898;0.84746;0.11864;;;;;;;;;;
68;11;0;0.05547;0.010786;0.93374;;;;;;;;;;
69;00;0.84615;0.15385;0;0;;;;;;;;;;
69;01;0.0010121;0.95648;0;0.04251;;;;;;;;;;
69;10;0;0;0.86207;0.13793;;;;;;;;;;
69;11;0.0031104;0.046656;0.017107;0.93313;;;;;;;;;;
70;00;0.92857;0.071429;0;0;;;;;;;;;;
70;01;0.0010235;0.97544;0;0.023541;;;;;;;;;;
70;10;0;0;0.80328;0.19672;;;;;;;;;;
70;11;0;0.033846;0.0046154;0.96154;;;;;;;;;;
71;00;0.92857;0.071429;0;0;;;;;;;;;;
71;01;0;0.96721;0;0.032787;;;;;;;;;;
71;10;0;0;0.94231;0.057692;;;;;;;;;;
71;11;0.0030303;0.048485;0.0045455;0.94394;;;;;;;;;;
72;00;0.73333;0.13333;0;0.13333;;;;;;;;;;
72;01;0.0010235;0.95701;0.0020471;0.039918;;;;;;;;;;
72;10;0;0.019231;0.73077;0.25;;;;;;;;;;
72;11;0;0.053191;0.0075988;0.93921;;;;;;;;;;
73;00;0.91667;0.083333;0;0;;;;;;;;;;
73;01;0.0010277;0.95992;0;0.039054;;;;;;;;;;
73;10;0;0;0.88889;0.11111;;;;;;;;;;
73;11;0;0.032738;0.0074405;0.95982;;;;;;;;;;
74;00;0.91667;0.083333;0;0;;;;;;;;;;
74;01;0;0.96865;0.0010449;0.030303;;;;;;;;;;
74;10;0;0;0.88889;0.11111;;;;;;;;;;
74;11;0;0.040698;0.010174;0.94913;;;;;;;;;;
75;00;0.90909;0;0;0.090909;;;;;;;;;;
75;01;0.001046;0.95816;0;0.040795;;;;;;;;;;
75;10;0;0.020833;0.72917;0.25;;;;;;;;;;
75;11;0;0.017467;0.018923;0.96361;;;;;;;;;;
76;00;0.90909;0.090909;0;0;;;;;;;;;;
76;01;0;0.96663;0;0.033369;;;;;;;;;;
76;10;0;0;0.89583;0.10417;;;;;;;;;;
76;11;0;0.028011;0.02521;0.94678;;;;;;;;;;
77;00;0.9;0;0.1;0;;;;;;;;;;
77;01;0.0021763;0.96844;0;0.02938;;;;;;;;;;
77;10;0;0;0.85246;0.14754;;;;;;;;;;
77;11;0;0.04073;0.005618;0.95365;;;;;;;;;;
78;00;0.81818;0.090909;0;0.090909;;;;;;;;;;
78;01;0.0087051;0.92709;0;0.0642;;;;;;;;;;
78;10;0.017544;0.035088;0.7193;0.22807;;;;;;;;;;
78;11;0;0.071329;0.036364;0.89231;;;;;;;;;;
79;00;0.61111;0.33333;0;0.055556;;;;;;;;;;
79;01;0;0.9702;0;0.029801;;;;;;;;;;
79;10;0;0;0.86567;0.13433;;;;;;;;;;
79;11;0;0.032349;0.022504;0.94515;;;;;;;;;;
80;00;1;0;0;0;;;;;;;;;;
80;01;0.0022026;0.96696;0.0011013;0.029736;;;;;;;;;;
80;10;0;0;0.83784;0.16216;;;;;;;;;;
80;11;0;0.040903;0.014104;0.94499;;;;;;;;;;
81;00;0.76923;0.23077;0;0;;;;;;;;;;
81;01;0.0022051;0.97133;0.0033076;0.023153;;;;;;;;;;
81;10;0;0.013699;0.84932;0.13699;;;;;;;;;;
81;11;0;0.042313;0.023977;0.93371;;;;;;;;;;
82;00;0.83333;0.16667;0;0;;;;;;;;;;
82;01;0.0010929;0.97158;0;0.027322;;;;;;;;;;
82;10;0.012195;0.012195;0.90244;0.073171;;;;;;;;;;
82;11;0;0.046176;0.030303;0.92352;;;;;;;;;;
83;00;0.91667;0.083333;0;0;;;;;;;;;;
83;01;0.0032468;0.97078;0.0010823;0.024892;;;;;;;;;;
83;10;0;0;0.89474;0.10526;;;;;;;;;;
83;11;0;0.061103;0.022355;0.91654;;;;;;;;;;
84;00;0.71429;0.28571;0;0;;;;;;;;;;
84;01;0.001065;0.96699;0.001065;0.030884;;;;;;;;;;
84;10;0;0.069307;0.76238;0.16832;;;;;;;;;;
84;11;0;0.074074;0.016975;0.90895;;;;;;;;;;
85;00;1;0;0;0;;;;;;;;;;
85;01;0.0020683;0.98449;0;0.013444;;;;;;;;;;
85;10;0;0.022472;0.85393;0.1236;;;;;;;;;;
85;11;0;0.050394;0.012598;0.93701;;;;;;;;;;
86;00;0.92308;0.076923;0;0;;;;;;;;;;
86;01;0.0030426;0.96957;0.0020284;0.025355;;;;;;;;;;
86;10;0;0.011905;0.96429;0.02381;;;;;;;;;;
86;11;0;0.040388;0.022617;0.937;;;;;;;;;;
87;00;0.93333;0.066667;0;0;;;;;;;;;;
87;01;0.0030519;0.96745;0.0020346;0.027467;;;;;;;;;;
87;10;0;0.010309;0.87629;0.1134;;;;;;;;;;
87;11;0;0.059308;0.028007;0.91269;;;;;;;;;;
88;00;0.76471;0.23529;0;0;;;;;;;;;;
88;01;0.0030334;0.97573;0;0.021234;;;;;;;;;;
88;10;0;0;0.92308;0.076923;;;;;;;;;;
88;11;0;0.052365;0.016892;0.93074;;;;;;;;;;
89;00;0.8125;0.1875;0;0;;;;;;;;;;
89;01;0.003;0.973;0;0.024;;;;;;;;;;
89;10;0;0;0.85849;0.14151;;;;;;;;;;
