;Avg T;Min T;Climate Zone;PLZ;Place
288;9,5;-14;4;14943;Luckenwalde
289;6,8;-12;6;58507;Lüdenscheid
290;10,2;-12;12;71634;Ludwigsburg, Württ.
291;9,5;-14;4;14974;Ludwigsfelde
292;10,2;-12;12;67059;Ludwigshafen am Rhein
293;8,5;-12;3;21335;Lüneburg
294;8,1;-12;5;44532;Lünen
295;10,2;-12;12;55116;Mainz
296;9,5;-14;4;39104;Magdeburg
297;10,2;-12;12;68159;Mannheim
298;8,8;-12;7;35037;Marburg, Lahn
299;9,5;-14;4;04416;Markkleeberg
300;8,1;-10;5;45768;Marl
301;7,9;-14;9;08393;Meerane
302;7,9;-12;13;88709;Meersburg, Bodensee
303;7,9;-16;13;98617;Meiningen
304;9,5;-14;4;01662;Meißen
305;7,9;-16;13;87700;Memmingen
306;6,8;-12;6;58706;Menden, Sauerland
307;10,2;-14;12;79227;Mengen, Baden
308;6,8;-16;6;71263;Merklingen Kr. Leonberg (Weil der Stadt)
309;9,5;-14;4;06217;Merseburg/Saale
310;6,3;-18;10;94526;Metten, Niederbay
311;8,1;-12;5;40822;Mettmann
312;8,1;-12;5;32423;Minden, Westf.
313;6,8;-18;15;87466;Mittelberg b. Oy
314;6,8;-16;15;82481;Mittenwald
315;7,9;-14;9;09648;Mittweida
316;8,1;-10;5;41061;Mönchengladbach
317;8,1;-10;5;47441;Moers
318;8,1;-10;5;40789;Monheim, Rheinl.
319;6,0;-14;8;99974;Mühlhausen
320;8,1;-10;5;45478;Mühlheim, Ruhr
321;7,9;-16;13;80331;München
322;6,8;-16;14;72525;Münsingen, Württ.
323;8,1;-12;5;48143;Münster, Westf.
324;6,3;-14;10;61231;Nauheim, Bad
325;8,8;-14;7;34311;Naumburg
326;6,8;-12;6;59755;Neheim-Hüsten
327;9,5;-14;4;17033;Neubrandenburg
328;10,2;-12;12;63263;Neu-Isenburg
329;8,1;-10;5;47506;Neukirchen–Vluyn
330;9,0;-10;1;21710;Neuland, Kr. Stade (NeulandWaterneversdorf)
331;8,5;-12;3;24534;Neumünster
332;6,8;-12;6;66538;Neunkirchen, Saar
333;9,5;-14;4;16816;Neuruppin
334;8,1;-10;5;41460;Neuss
335;10,2;-10;12;67433;Neustadt, Weinstraße
336;9,5;-14;4;17235;Neustrelitz
337;7,9;-14;13;89231;Neu-Ulm
338;8,1;-12;5;56564;Neuwied
339;8,5;-12;3;31582;Nienburg, Weser
340;9,0;-10;1;26954;Nordenham
341;9,0;-10;1;26548;Norderney
342;7,9;-14;9;99734;Nordhausen
343;8,1;-10;5;48527;Nordhorn
344;7,9;-16;13;86270;Nördlingen
345;6,8;-14;6;53520;Nürburg
346;7,9;-16;13;90402;Nürnberg
347;6,8;-14;6;72622;Nürtingen
348;6,8;-18;15;83080;Oberaudorf
349;8,1;-10;5;46045;Oberhausen, Rheinland
350;10,2;-12;12;79235;Oberrotweil
351;6,8;-20;15;87561;Oberstdorf
352;6,3;-12;10;61440;Oberursel, Taunus
353;6,3;-16;10;92526;Oberviechtach
354;3,0;-18;11;09484;Oberwiesenthal
355;7,9;-14;13;74613;Öhringen
356;8,1;-10;5;45739;Oer-Erkenschwick
357;10,2;-12;12;63065;Offenbach, Main
358;10,2;-12;12;77652;Offenburg
359;8,5;-10;3;26121;Oldenburg, Oldb.
360;9,5;-14;4;16515;Oranienburg
361;9,5;-14;4;04758;Oschatz
362;8,1;-12;5;49074;Osnabrück
363;8,1;-12;5;33098;Paderborn
364;8,1;-14;4;19370;Parchim
365;7,9;-16;13;92331;Parsberg, Oberfr.
366;7,9;-14;13;94032;Passau
367;8,7;-14;3;31224;Peine
368;6,8;-12;6;75172;Pforzheim
369;9,0;-12;1;25421;Pinneberg
370;6,8;-12;6;66953;Pirmasens
371;6,3;-14;10;01796;Pirna
372;6,3;-16;10;08523;Plauen
373;6,8;-12;6;58840;Plettenberg
374;7,9;-14;13;91224;Pommelsbrunn
375;8,1;-10;5;50668;Porz
376;9,5;-14;4;14467;Potsdam
377;9,5;-14;4;17291;Prenzlau
378;9,5;-14;4;06484;Quedlinburg
379;8,5;-12;3;25712;Quickborn (Ditmarschen)
380;9,5;-14;4;01445;Radebeul
381;6,8;-12;6;42477;Radevormwald
382;10,2;-12;12;76437;Rastatt
383;9,5;-14;4;14712;Rathenow
384;8,1;-10;5;40878;Ratingen
385;7,9;-14;13;88212;Ravensburg
386;8,1;-10;5;45657;Recklinghausen
387;7,9;-16;13;93047;Regensburg
388;6,3;-16;10;08468;Reichenbach/Vogtl.
389;6,8;-12;6;42853;Remscheid
390;8,5;-10;3;24768;Rendsburg
391;6,8;-16;6;72760;Reutlingen
392;8,1;-12;5;48429;Rheine
393;10,2;-10;12;79365;Rheinhausen, Niederrh.
394;8,1;-10;5;41199;Rheydt
395;9,5;-16;4;01587;Riesa
396;8,1;-10;5;50668;Rodenkirchen
397;6,8;-12;6;52159;Rötgen, Eifel
398;7,9;-16;13;83022;Rosenheim, Oberbay
399;8,4;-10;2;18055;Rostock
400;7,9;-14;13;91541;Rothenburg ob der Tauber
401;6,3;-14;10;07407;Rudolstadt
402;6,8;-12;6;65428;Rüsselsheim
403;6,3;-14;10;07318;Saalfeld/Saale
404;6,8;-12;6;66111;Saarbrücken
405;6,8;-12;6;66740;Saarlouis
406;8,5;-14;3;38226;Salzgitter
407;8,8;-16;7;36433;Salzungen, Bad
408;9,5;-14;4;29410;Salzwedel
409;9,5;-14;4;06526;Sangerhausen
410;6,8;-16;6;79837;St. Blasien
411;6,8;-12;6;66386;St. Ingert
412;8,5;-10;3;24837;Schleswig
413;6,3;-16;10;08289;Schneeberg
414;6,8;-14;6;72290;Schömberg Kr. Freudenstadt (Loßburg)
415;9,5;-14;4;39218;Schönebeck/Elbe
416;7,9;-16;13;91626;Schopfloch
417;7,9;-16;13;73614;Schorndorf, Württ.
418;8,8;-12;7;63679;Schotten, Hess.
419;7,9;-16;13;91126;Schwabach, Mittelfr.
420;7,9;-16;13;73525;Schwäbisch Gmünd
421;7,9;-16;13;74523;Schwäbisch Hall
422;6,3;-16;10;08340;Schwarzenberg/Erzgeb.
423;9,5;-16;4;16303;Schwedt/Oder
424;7,9;-14;13;97421;Schweinfurt
425;6,8;-12;6;58332;Schwelm
426;6,0;-16;8;78048;Schwenningen, Neckar
427;9,5;-12;4;19053;Schwerin
428;8,1;-12;5;58239;Schwerte, Ruhr
429;8,5;-10;3;23795;Segeberg, Bad
430;6,3;-18;10;95100;Selb
431;9,5;-16;4;01968;Senftenberg
432;8,1;-12;5;53721;Siegburg
433;6,8;-12;6;57072;Siegen
434;6,8;-14;14;72488;Sigmaringen
435;6,8;-14;6;71063;Sindelfingen
436;7,9;-14;13;78224;Singen, Hohentwiel
437;8,1;-12;5;59494;Soest, Westf.
438;6,8;-12;6;42651;Solingen
439;9,5;-12;4;29614;Soltau
440;7,9;-14;9;99610;Sömmerda
441;7,9;-14;9;99706;Sondershausen
442;6,3;-16;10;08355;Sonneberg
443;10,2;-12;12;67346;Speyer
444;7,9;-16;9;02742;Spremberg
445;8,5;-10;3;21680;Stade
446;9,5;-14;4;39418;Staßfurt
447;9,5;-14;4;39576;Stendal
448;8,1;-12;5;52222;Stolberg, Rheinl.
449;8,4;-10;2;18437;Stralsund
450;3,0;-18;11;94315;Straubing
451;9,5;-14;4;15344;Strausberg
452;10,2;-12;12;70173;Stuttgart
453;6,3;-16;10;98527;Suhl
454;6,8;-12;6;66280;Sulzbach, Saar
455;6,8;-18;15;83646;Tölz, Bad
456;9,5;-16;4;04860;Torgau
457;8,8;-10;7;54290;Trier
458;6,8;-16;6;72070;Tübingen
459;3,0;-16;11;78532;Tuttlingen
460;8,1;-12;5;52531;Übach–Palenberg
461;9,5;-14;4;29525;Uelzen
462;7,9;-14;13;89073;Ulm, Donau
463;8,1;-12;5;59423;Unna
464;8,1;-12;5;42549;Velbert
465;10,2;-12;12;68519;Viernheim
466;8,1;-10;5;41747;Viersen
467;6,0;-16;8;78048;Villingen, Schwarzwald
468;6,8;-12;6;66333;Völklingen, Saar
469;8,1;-10;5;46562;Voerde, Niederrh.
470;10,2;-12;12;71332;Waiblingen
471;8,8;-14;7;34513;Waldeck, Hess
472;8,1;-12;5;45731;Waltrop
473;8,1;-10;5;44649;Wanne-Eickel
474;9,5;-12;4;17192;Waren
475;7,9;-16;13;83512;Wasserburg a. Inn
476;8,8;-16;7;36163;Wasserkuppe
477;8,1;-10;5;44866;Wattenscheid
478;9,0;-10;1;22880;Wedel, Holstein
479;6,3;-16;10;92637;Weiden, Oberpf.
480;6,3;-12;10;35781;Weilburg
481;7,9;-14;9;99423;Weimar
482;6,8;-10;6;69469;Weinheim, Bergstraße
483;7,9;-16;13;91781;Weissenburg in Bay
484;9,5;-14;4;06667;Weißenfels
485;9,5;-16;4;02943;Weißwasser
486;9,5;-20;4;06642;Wendelstein
487;9,5;-16;4;04886;Werdau
488;6,8;-12;6;58791;Werdohl
489;6,8;-12;6;42929;Wermelskirchen
490;6,8;-12;6;59368;Werne a. d. Lippe
491;6,8;-16;6;38855;Wernigerode
492;7,9;-14;13;97877;Wertheim
493;8,1;-10;5;46483;Wesel
494;8,1;-10;5;50389;Wesseling, Rheinl.
495;8,8;-12;7;35578;Wetzlar
496;10,2;-10;12;65183;Wiesbaden
497;6,8;-14;6;75323;Wildbad
498;9,0;-10;1;26382;Wilhelmshaven
499;8,8;-14;7;34508;Willingen, Upland
500;8,4;-10;2;23966;Wismar
501;8,1;-12;5;58452;Witten
502;9,5;-14;4;06886;Wittenberg
503;9,5;-14;4;19322;Wittenberge
504;8,8;-14;7;37213;Witzenhausen
505;9,5;-14;4;06766;Wolfen
506;8,5;-14;3;38300;Wolfenbüttel
507;8,5;-14;3;38440;Wolfsburg
508;10,2;-12;12;67547;Worms
509;8,1;-12;5;42489;Wülfrath
510;6,8;-12;6;42103;Wuppertal
511;8,1;-12;5;52146;Würselen
512;7,9;-12;13;97070;Würzburg
513;9,5;-14;4;04808;Wurzen
514;9,5;-14;4;39249;Zeitz
515;9,5;-14;4;39261;Zerbst
516;6,3;-16;10;02763;Zittau
517;6,8;-12;6;66487;Zweibrücken
518;7,9;-14;9;08056;Zwickau
