,Avg T,Min T,Climate Zone,PLZ,Place,Lat,Lng
171,8.1,-12,5,48268,"Greven, Westf.",52.0918867,7.652041299999999
172,8.1,-10,5,41515,Grevenbroich,51.08212109999999,6.603842999999999
173,8.1,-10,5,48599,"Gronau, Westf.",52.1841199,7.028936099999999
174,9.5,-16,4,1558,Großenhain,51.2884296,13.544192800000001
175,7.9,-16,13,74417,Gschwend b. Gaildorf,48.933951799999996,9.7435783
176,9.5,-16,4,3172,Guben,51.94750810000001,14.5690228
177,6.8,-12,6,51643,Gummersbach,51.0251286,7.5433
178,9.5,-12,4,18273,Güstrow,53.800062100000005,12.215973199999999
179,6.8,-12,6,33330,Gütersloh,51.909671,8.369734900000001
180,8.1,-12,5,58091,Hagen,51.342288,7.486979099999999
181,8.5,-14,3,38820,Halberstadt,51.8962146,11.0383935
182,9.5,-14,4,39340,Haldensleben,52.2903751,11.405873800000002
183,9.5,-14,4,6108,Halle/Saale,51.48725770000001,11.9600411
184,8.5,-12,3,20144,Hamburg,53.5747274,9.9766112
185,8.5,-12,3,31785,Hameln,52.1037614,9.366101400000002
186,8.1,-12,5,59063,"Hamm, Westf.",51.6679119,7.8327364
187,6.3,-12,10,63450,Hanau,50.1268222,8.9216451
188,8.5,-14,3,30159,Hannover,52.3749839,9.7388153
189,6.8,-14,6,38667,"Harzburg, Bad",51.875859000000005,10.5655195
190,8.1,-12,5,45525,"Hattingen, Ruhr",51.394842700000005,7.186049300000001
191,8.8,-14,7,34626,"Hauptschwenda (Neukirchen, Knüllgeb.)",50.8772747,9.3603629
192,9.0,-10,1,25746,"Heide, Holst.",54.189781499999995,9.0911487
193,10.2,-10,12,69115,Heidelberg,49.403510600000004,8.681388
194,9.5,-14,4,1809,Heidenau,50.9533266,13.8547751
195,6.8,-16,14,89518,"Heidenheim, Brenz",48.6852038,10.145353300000002
196,10.2,-12,12,74072,Heilbronn,49.1423079,9.2148545
197,8.1,-12,5,42579,Heiligenhaus b. Velbert,51.3237681,6.9672791
198,8.5,-14,3,38350,Helmstedt,52.2430058,11.0017167
